gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
APOA5,0.49598712,284,3.782572,0.0001902615,11357
ZKSCAN2,0.49581534,285,2.5183892,0.012822774,13979
FRMD8,0.49571407,286,6.786431,1.6940334e-10,6668
CPT1A,0.49560028,287,-2.082958,0.039049197,14953
PRSS23,0.49555144,288,5.2237105,5.381722e-07,8948
ERCC1,0.49525815,289,0.8796778,0.3807388,18008
C14orf165,0.49412662,290,0.87381464,0.38408306,18033
LOC158257,0.4940242,291,-10.078427,2.0752804e-17,3938
REP15,0.49362642,292,-3.93343,0.00013729262,11180
TXLNB,0.49157697,293,0.9227066,0.35789338,17881
C19orf35,0.49153656,294,-0.51888233,0.60487264,19197
MIR711,0.4915114,295,-0.6128167,0.5415741,18886
ITGBL1,0.49142137,296,4.317729,2.887622e-05,10454
KRTAP10-11,0.4901635,297,-0.73649824,0.46317634,18466
SPNS3,0.48938286,298,-2.5732157,0.011344149,13887
MIR320D2,0.48936614,299,0.31729287,0.75168,19848
FLJ31306,0.48921505,300,-6.1158657,1.3049294e-08,7765
SCARNA23,0.48866126,301,1.2520072,0.21315867,16997
AACSP1,0.48758477,302,5.8778343,9.244668e-09,7674
KIAA1967,0.48754472,303,-0.5649811,0.5730539,19044
ING3,0.48704928,304,-10.608738,1.6472193e-18,3647
TBCE,0.48612803,305,15.153088,7.811652e-33,1227
LINC00307,0.48388094,306,-5.6070156,2.083746e-07,8621
SLURP1,0.48377383,307,6.3358364,1.4393038e-09,7171
TEX264,0.48370788,308,10.479802,2.8296435e-21,2957
GRPEL1,0.48358405,309,5.093931,9.001589e-07,9125
KLRC4-KLRK1,0.48325986,310,-3.5738177,0.00053915964,11924
HECW2,0.48280805,311,-0.9332623,0.35268205,17855
CDHR1,0.4825396,312,-1.9805562,0.05002759,15217
PXMP4,0.48224258,313,-1.2704692,0.20655783,16943
FGF8,0.4819876,314,-4.585318,1.3456052e-05,10156
DACH2,0.48114708,315,-0.8239861,0.41137972,18192
SNAPC2,0.4807672,316,11.095417,5.2637642e-21,3020
LOC100506990,0.48055544,317,-14.750496,2.9620314e-31,1372
HIST1H2BM,0.48022342,318,15.452111,0.0,684
CCDC144A,0.480177,319,-5.5690274,2.1670844e-07,8644
LOC100507466,0.47990614,320,-9.290921,7.5229956e-16,4438
SLC37A4,0.47987413,321,3.9904447,0.000104417595,11043
LOC154860,0.4796914,322,8.384462,3.869695e-16,4347
FLJ35282,0.47853714,323,-6.393122,5.3208353e-09,7530
TOM1L1,0.47826254,324,4.828249,4.1974613e-06,9707
LENG8,0.47727326,325,-5.844132,5.6765174e-08,8196
LOC100288123,0.4769082,326,-4.107098,7.746975e-05,10903
KCTD5,0.47647232,327,18.677662,0.0,483
MIR329-1,0.47629568,328,-0.03294855,0.97378576,20764
MIR4782,0.47619846,329,-1.8470911,0.06765174,15504
MIR4757,0.4754066,330,-3.9051578,0.00017806764,11319
IL21R,0.47479165,331,15.425445,5.980233e-34,1137
GON4L,0.4743526,332,3.543022,0.0005465654,11931
CCDC63,0.4742294,333,0.84142286,0.40201077,18138
GPR31,0.47420982,334,5.223277,5.8395483e-07,8980
ALS2CR11,0.4740369,335,-7.8581314,1.4848499e-12,5669
ATP4A,0.47367343,336,-4.0228834,0.000113219714,11084
