gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
TXNRD3NB,159.95901,400,-1.4297822,0.15568385,16641
CHMP2B,159.83014,401,-0.2344277,0.81501013,20179
SSH1,158.80612,402,-3.8166542,0.00021595311,11903
BEX5,158.30188,403,-8.615943,1.5196537e-14,5804
RBM5,158.27719,404,-8.089327,1.1384172e-12,6565
IFT43,158.03084,405,8.614746,1.7539022e-15,5454
ZCCHC16,157.59036,406,-0.9039418,0.36808944,18108
DDX51,157.45633,407,-2.9444785,0.003947688,13400
GNL3,157.4126,408,3.625517,0.0004315278,12188
GABARAPL3,157.36874,409,-18.365759,1.5185827e-35,1431
ATIC,156.88731,410,20.549295,0.0,692
RAB27A,156.65079,411,-3.7754927,0.00024279609,11959
SAMD13,156.42313,412,-5.548546,1.05935705e-07,9170
ADH5,156.38454,413,-18.219296,6.88243e-33,1741
MB21D1,156.248,414,7.446188,7.923984e-12,6922
MGC16142,156.13472,415,-3.2026534,0.0017790665,12943
YY1AP1,156.06575,416,12.931127,2.336914e-28,2380
YWHAE,155.89206,417,1.5419179,0.12454695,16366
NRN1,155.85785,418,-22.306923,0.0,521
SCUBE3,155.82089,419,12.68281,1.031395e-27,2486
ARL8B,155.60896,420,6.7026625,2.6476948e-10,7630
GPCRLTM7,154.89609,421,-1.5009921,0.13614456,16481
AP3D1,154.55623,422,6.608382,7.0227585e-10,7859
RETSAT,154.45903,423,-11.622271,4.5113788e-20,4120
GNPNAT1,154.01686,424,11.62229,9.018962e-22,3683
ICAM5,153.74963,425,-8.183011,4.678285e-13,6414
ITGA6,153.61153,426,-17.416199,2.097475e-39,1110
HMOX2,153.58075,427,17.624714,0.0,926
DYNLL1,153.39136,428,11.091618,1.4500308e-20,3991
ARL1,153.34912,429,8.424287,9.388397e-15,5730
EML3,153.21382,430,-8.412182,1.7675798e-13,6232
GLG1,153.09808,431,-14.215353,4.203722e-28,2416
GMFB,153.09186,432,2.753231,0.0067711244,13741
NEFH,153.05853,433,5.7414026,5.1472195e-08,8960
